Ranking,Songs,Artist,Url,Release_year,Speed_song,Slowed_song
86,Oh No,Kreepa,https://ads.tiktok.com/business/creativecenter/song/Oh-No-6586947002464996102?countryCode=US&period=120,2019,False,False
91,PAINTING PICTURES,Superstar Pride,https://ads.tiktok.com/business/creativecenter/song/PAINTING-PICTURES-7156308137232828417?countryCode=US&period=120,2022,False,False
97,Players - DJ Smallz 732 - Jersey Club Remix,Coi Leray,https://ads.tiktok.com/business/creativecenter/song/Players-DJ-Smallz-732-Jersey-Club-Remix-7171695298610334510?countryCode=US&period=120,2022,False,False
78,Poker Face,Eric Cartman,https://ads.tiktok.com/business/creativecenter/song/Poker-Face-7106414006780315649?countryCode=US&period=120,2008,False,False
41,Pretty Girls Walk,Big Boss Vette,https://ads.tiktok.com/business/creativecenter/song/Pretty-Girls-Walk-7107825905426237442?countryCode=US&period=120,2022,False,False
60,RUNNING OUT OF TIME,"Tyler, The Creator",https://ads.tiktok.com/business/creativecenter/song/RUNNING-OUT-OF-TIME-6696407514109446146?countryCode=US&period=120,2019,False,False
70,Speak Up,Is0kenny,https://ads.tiktok.com/business/creativecenter/song/Speak-Up-7146691693914491694?countryCode=US&period=120,2022,False,False
56,Stuck In The Middle,Tai Verdes,https://ads.tiktok.com/business/creativecenter/song/Stuck-In-The-Middle-6832618984580335617?countryCode=US&period=120,2021,False,False
28,Sunroof,Nicky Youre & dazy,https://ads.tiktok.com/business/creativecenter/song/Sunroof-7030869625311086594?countryCode=US&period=120,2021,False,False
21,Sunshine,WIRA,https://ads.tiktok.com/business/creativecenter/song/Sunshine-7087902657213384705?countryCode=US&period=120,2022,False,False
48,Sure Thing (sped up),Miguel,https://ads.tiktok.com/business/creativecenter/song/Sure-Thing-sped-up-7168903203530476293?countryCode=US&period=120,2010,True,False
85,The Nasty Song - Album Version (Edited),Lil Ru,https://ads.tiktok.com/business/creativecenter/song/The-Nasty-Song-Album-Version-Edited-6928494026869966849?countryCode=US&period=120,2009,False,False
80,This Is a Work of Art (Sketchy),Dubskie,https://ads.tiktok.com/business/creativecenter/song/This-Is-a-Work-of-Art-Sketchy-7103996508323743745?countryCode=US&period=120,2022,False,False
92,UH HUH,Bktherula,https://ads.tiktok.com/business/creativecenter/song/UH-HUH-6780128235972724738?countryCode=US&period=120,2020,False,False
83,White Tee,Summer Walker & NO1-NOAH,https://ads.tiktok.com/business/creativecenter/song/White-Tee-6847820452413310977?countryCode=US&period=120,2021,False,False
96,White Tee Sped,tezkko,https://ads.tiktok.com/business/creativecenter/song/White-Tee-Sped-7079177701056661506?countryCode=US&period=120,2022,True,False
34,cigs after s3x k slowed,spedupaudios ୨♡୧,https://ads.tiktok.com/business/creativecenter/song/cigs-after-s3x-k-slowed-7119553475574319878?countryCode=US&period=120,2016,False,True
94,girls like me don't cry (sped up),thuy,https://ads.tiktok.com/business/creativecenter/song/girls-like-me-don-t-cry-sped-up-7177031160675960834?countryCode=US&period=120,2022,True,False
84,snowfall,Øneheart & reidenshi,https://ads.tiktok.com/business/creativecenter/song/snowfall-7043672073613936641?countryCode=US&period=120,2022,False,False
68,たぶん,YOASOBI,https://ads.tiktok.com/business/creativecenter/song/%E3%81%9F%E3%81%B5%E3%82%99%E3%82%93-6844194559707088898?countryCode=US&period=120,2020,False,False
